time (s), sensor, F1, F2, F3, F4, F5, F6, F7, F8, Clear, NIR
220.26472759246826,3,9751,65535,36221,65111,65535,14721,65535,65535,65234,28094
222.3285903930664,4,114,235,3543,3639,1791,454,627,656,540,353
224.41207337379456,1,180,1388,826,3517,3253,769,1531,1703,1266,741
226.50113821029663,2,201,2746,5032,4885,4335,1531,2670,1962,1477,956
228.5768084526062,3,9733,65535,36076,65043,65535,14536,65535,65535,65207,28066
230.65849328041077,4,119,229,2247,1196,1775,435,625,651,537,346
232.74197506904602,1,179,1387,4245,2437,3251,796,1528,1704,1266,737
234.84600257873535,2,204,2745,5116,2326,4337,1558,2669,1961,1478,949
236.90556359291077,3,9725,65535,36126,64980,65535,14615,65535,65535,65142,28006
238.9879755973816,4,113,233,3099,3595,1768,445,624,651,535,345
241.0748417377472,1,179,1378,4125,4406,3251,759,1530,1704,1266,741
243.15766215324402,2,206,2749,5084,4923,4331,1540,2670,1966,1475,951
245.23594689369202,3,9720,65535,36041,64954,65535,14496,65535,65535,65139,28024
247.31816697120667,4,111,228,3205,3578,1756,432,620,649,529,342
249.40183091163635,1,177,1389,4241,4509,3248,798,1528,1703,1265,739
251.48756527900696,2,200,2745,5045,4859,4328,1537,2669,1961,1473,950
253.56606578826904,3,9717,65535,36011,64997,65535,14514,65535,65535,65135,28042
255.64720344543457,4,111,220,3536,3629,1735,442,617,643,531,340
257.7363419532776,1,177,1390,4161,3891,3249,771,1529,1705,1269,736
259.81708574295044,2,207,2750,3058,4986,4332,1554,2673,1961,1473,952
261.8950209617615,3,9732,65535,36143,65028,65535,14605,65535,65535,65162,28010
263.9782409667969,4,113,225,3499,3589,1740,429,616,644,527,338
